BOS what kind of aircraft is used on a flight from cleveland to dallas EOS	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS flights from new york to miami EOS	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh EOS	O O O O B-flight_time O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS what flights go from boston to pittsburgh after 6 o'clock next tuesday EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name atis_flight
BOS what is the ground transportation from philadelphia airport to the city proper EOS	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O atis_ground_service
BOS ground transportation in san jose EOS	O O O O B-city_name I-city_name atis_ground_service
BOS what flights from denver to pittsburgh arrive before 8 in the morning EOS	O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day atis_flight
BOS what are the flights from dallas to baltimore EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am EOS	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS can you list all the flights between phoenix and las vegas EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS flights from denver to baltimore between 10 am and 2 pm EOS	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time atis_flight
BOS show me first class flights from pittsburgh to san francisco on friday EOS	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS flights from newark new jersey to cleveland ohio EOS	O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name atis_flight
BOS give me flights from denver to baltimore EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
